item_id,runtime
tt0056322,"""98"""
tt0056331,"""93"""
tt0056368,"""81"""
tt0056406,"""95"""
tt0056412,"""94"""
tt0056443,"""96"""
tt0056541,"""120"""
tt0056552,"""89"""
tt0056556,"""122"""
tt0056575,"""99"""
tt0056592,"""129"""
tt0056663,"""80"""
tt0056687,"""134"""
tt0056751,"""45"""
tt0056800,"""154"""
tt0056801,"""138"""
tt0056825,"""174"""
tt0056846,"""90"""
tt0056868,"""98"""
tt0056869,"""119"""
tt0056891,"""112"""
tt0056923,"""113"""
tt0056931,"""89"""
tt0056937,"""192"""
tt0056983,"""75"""
tt0057007,"""109"""
tt0057012,"""95"""
tt0057058,"""108"""
tt0057076,"""115"""
tt0057091,"""186"""
tt0057115,"""172"""
tt0057128,"""87"""
tt0057163,"""112"""
tt0057171,"""114"""
tt0057180,"""80"""
tt0057187,"""147"""
tt0057193,"""210"""
tt0057197,"""104"""
tt0057251,"""94"""
tt0057261,"""92"""
tt0057263,"""102"""
tt0057298,"""126"""
tt0057329,"""103"""
tt0057334,"""81"""
tt0057345,"""103"""
tt0057372,"""107"""
tt0057413,"""115"""
tt0057426,"""134"""
tt0057449,"""86"""
tt0057490,"""116"""
tt0057495,"""101"""
tt0057546,"""79"""
tt0057578,"""134"""
tt0057581,"""108"""
tt0057590,"""129"""
tt0057591,"""105"""
tt0057603,"""92"""
tt0057687,"""101"""
tt0057729,"""30"""
tt0057733,"""25"""
tt0057751,"""30"""
tt0057773,"""30"""
tt0057811,"""102"""
tt0057831,"""142"""
tt0057869,"""95"""
tt0057877,"""148"""
tt0057918,"""92"""
tt0057940,"""154"""
tt0057997,"""116"""
tt0058022,"""74"""
tt0058073,"""84"""
tt0058083,"""112"""
tt0058085,"""188"""
tt0058089,"""104"""
tt0058092,"""118"""
tt0058100,"""103"""
tt0058150,"""110"""
tt0058155,"""83"""
tt0058203,"""112"""
tt0058213,"""133"""
tt0058249,"""97"""
tt0058262,"""93"""
tt0058265,"""125"""
tt0058324,"""120"""
tt0058329,"""130"""
tt0058331,"""139"""
tt0058333,"""89"""
tt0058379,"""89"""
tt0058382,"""93"""
tt0058383,"""90"""
tt0058390,"""90"""
tt0058404,"""125"""
tt0058450,"""91"""
tt0058453,"""110"""
tt0058458,"""113"""
tt0058461,"""99"""
tt0058529,"""123"""
tt0058530,"""110"""
tt0058544,"""93"""
tt0058557,"""121"""
tt0058567,"""88"""
tt0058576,"""118"""
tt0058580,"""110"""
tt0058586,"""102"""
tt0058604,"""141"""
tt0058606,"""81"""
tt0058620,"""93"""
tt0058642,"""97"""
tt0058672,"""120"""
tt0058694,"""83"""
tt0058700,"""86"""
tt0058701,"""95"""
tt0058708,"""128"""
tt0058725,"""85"""
tt0058743,"""111"""
tt0058777,"""138"""
tt0058796,"""60"""
tt0058805,"""25"""
tt0058812,"""25"""
tt0058815,""""""
tt0058886,"""138"""
tt0058888,"""185"""
tt0058898,"""99"""
tt0058946,"""121"""
tt0058947,"""167"""
tt0058962,"""102"""
tt0058985,"""80"""
tt0059012,"""119"""
tt0059017,"""97"""
tt0059037,"""102"""
tt0059043,"""119"""
tt0059079,"""91"""
tt0059084,"""128"""
tt0059125,"""98"""
tt0059126,"""82"""
tt0059127,"""90"""
tt0059168,"""98"""
tt0059183,"""142"""
tt0059221,"""90"""
tt0059229,"""137"""
tt0059243,"""160"""
tt0059245,"""260"""
tt0059250,"""165"""
tt0059260,"""92"""
tt0059263,"""131"""
tt0059274,"""123"""
tt0059309,"""165"""
tt0059314,"""128"""
tt0059319,"""109"""
tt0059346,"""94"""
